Date,Open,Close,Volume
2020-03-30 00:00:00+05:30,-3.2532434472771725,-3.272345357203296,0.7378693826671332
2020-03-31 00:00:00+05:30,-3.181138045429391,-3.092187385740222,1.6383421997485248
2020-04-01 00:00:00+05:30,-3.0767097552669105,-3.164207337482078,1.4657545603471913
2020-04-03 00:00:00+05:30,-3.0503322281868317,-3.170695687012251,1.451049575147195
2020-04-07 00:00:00+05:30,-3.1202756381571346,-2.8924566450287386,2.2838328581095
2020-04-08 00:00:00+05:30,-2.9518493899020215,-2.922627046890424,1.9961200501686513
2020-04-09 00:00:00+05:30,-2.878338988225848,-2.862502575964139,0.9173493835847069
2020-04-13 00:00:00+05:30,-2.9000675611950073,-2.9291152478403792,0.31807295685781456
2020-04-15 00:00:00+05:30,-2.9149856388099398,-3.014111452901928,1.0639167574722121
2020-04-16 00:00:00+05:30,-3.017036206600574,-2.974749581608024,1.2005514854031891
2020-04-17 00:00:00+05:30,-2.8740143359337633,-2.8537431778052205,0.9324914484921525
2020-04-20 00:00:00+05:30,-2.852393532249122,-2.8109202789183816,1.1093209253238543
2020-04-21 00:00:00+05:30,-2.886987343253586,-2.8248704755656138,2.731926257032716
2020-04-22 00:00:00+05:30,-2.649158058402636,-2.5518219349099787,7.938447009632174
2020-04-23 00:00:00+05:30,-2.5467832769308743,-2.53603350380839,2.9939995313584324
2020-04-24 00:00:00+05:30,-2.5839714323200993,-2.4363305316306803,7.445592064003517
2020-04-27 00:00:00+05:30,-2.402681225041364,-2.4087555290131517,2.5469564427840727
2020-04-28 00:00:00+05:30,-2.368087890754932,-2.4122159622852153,3.82569952769744
2020-04-29 00:00:00+05:30,-2.3791140452353843,-2.414811064368936,1.2030465407621804
2020-04-30 00:00:00+05:30,-2.359547474922405,-2.3303553941396653,3.3705947965435916
2020-05-04 00:00:00+05:30,-2.3897085050175773,-2.3969683631763408,2.2251315038343025
2020-05-05 00:00:00+05:30,-2.360088098101917,-2.3419265243398266,1.6774624983868702
2020-05-06 00:00:00+05:30,-2.337818657634117,-2.3417098943823054,1.3947841750633976
2020-05-07 00:00:00+05:30,-2.3572773288536517,-2.24179058940751,2.0055093879919084
2020-05-08 00:00:00+05:30,-2.162690397706643,-2.123163252051777,4.197682724736076
2020-05-11 00:00:00+05:30,-2.0870177550581297,-2.090721950141564,3.0977666464747435
2020-05-12 00:00:00+05:30,-2.1198810129846652,-2.301699024697144,5.249109272458476
2020-05-13 00:00:00+05:30,-2.1703130498819525,-2.233821340846738,3.055829917872706
2020-05-14 00:00:00+05:30,-2.2969020668264672,-2.3659082629705974,1.9568328851784729
2020-05-15 00:00:00+05:30,-2.3514661801396826,-2.314710491528451,2.781911373672865
2020-05-18 00:00:00+05:30,-2.2947193056268635,-2.355428603050238,2.823136775220983
2020-05-19 00:00:00+05:30,-2.323093241674028,-2.4249659279332314,1.5117545422448073
2020-05-20 00:00:00+05:30,-2.4256737478683847,-2.370820324970358,2.3444938995289246
2020-05-21 00:00:00+05:30,-2.3711092564443264,-2.3543365384495654,1.310191194760493
2020-05-22 00:00:00+05:30,-2.334442462483689,-2.37551486553129,1.2244523689602538
2020-05-26 00:00:00+05:30,-2.3424087332425283,-2.391888999851362,0.9291169831269922
2020-05-27 00:00:00+05:30,-2.379839956550699,-2.3449489431298787,1.0860789909712085
2020-05-28 00:00:00+05:30,-2.3274580598405175,-2.286655871967933,1.3715524857668888
2020-05-29 00:00:00+05:30,-2.29908451131348,-2.303794302928258,1.3649091431463811
2020-06-01 00:00:00+05:30,-2.27289319782397,-2.181640562683768,1.3598618522088335
2020-06-02 00:00:00+05:30,-2.1724949930863744,-2.148127997403371,0.2207561931170282
2020-06-03 00:00:00+05:30,-2.1310263427170923,-2.135137628962989,0.4274072354790308
2020-06-04 00:00:00+05:30,-2.1332090399392696,-2.0518462333202314,0.9922338925656833
2020-06-05 00:00:00+05:30,-2.021897738184515,-2.0476981708002886,0.9201557605870645
2020-06-08 00:00:00+05:30,-1.9708254644032785,-2.0743341464414566,0.8137524004318726
2020-06-09 00:00:00+05:30,-2.097633003683989,-2.1449623472833808,0.4578780814420209
2020-06-10 00:00:00+05:30,-2.1351730818223307,-2.068547838440287,0.21939148760796442
2020-06-11 00:00:00+05:30,-2.0851923684521037,-2.143761521963294,0.10753839790383901
2020-06-12 00:00:00+05:30,-2.2292421481437663,-2.0321967966794485,1.2705503832387817
2020-06-15 00:00:00+05:30,-2.0873747381966448,-1.9759779053576922,2.2027547004408348
2020-06-16 00:00:00+05:30,-1.917133638939807,-1.9691004242371568,2.079788414155182
2020-06-17 00:00:00+05:30,-1.9929787203649938,-1.9742314934779226,1.477574409675776
2020-06-18 00:00:00+05:30,-1.9957067045686128,-1.8857002678749852,1.3936612528791694
2020-06-19 00:00:00+05:30,-1.8582045439068522,-1.6597326379872877,5.577013243530401
2020-06-22 00:00:00+05:30,-1.6325259538961114,-1.688660612067908,2.6568221196608004
2020-06-23 00:00:00+05:30,-1.6835986771463902,-1.7437883302702983,1.2329752951923159
2020-06-24 00:00:00+05:30,-1.7143728756749383,-1.7286147241098775,2.1053509817860845
2020-06-25 00:00:00+05:30,-1.7337974515513896,-1.7503377462699785,1.3429365072175223
2020-06-26 00:00:00+05:30,-1.729868651901695,-1.6984853303882994,0.7821822599453707
2020-06-29 00:00:00+05:30,-1.7315060634050081,-1.7388759711101025,0.44281688844645756
2020-06-30 00:00:00+05:30,-1.7119717756550639,-1.780466842831121,0.7408503098134269
2020-07-01 00:00:00+05:30,-1.7490754803027881,-1.7073276363087388,0.6248047510431938
2020-07-02 00:00:00+05:30,-1.6677884664346745,-1.6262512745526245,0.6456425549100653
2020-07-03 00:00:00+05:30,-1.5868131337458975,-1.5656106359497775,0.6869258410253579
2020-07-06 00:00:00+05:30,-1.5313632907038575,-1.4249607387149017,1.8127242607322729
2020-07-07 00:00:00+05:30,-1.4103402377830299,-1.4873617557379897,1.0554483861640802
2020-07-08 00:00:00+05:30,-1.4894450437108104,-1.5433794694448737,0.4800928208537199
2020-07-09 00:00:00+05:30,-1.5225611393182554,-1.4856007829968778,1.1341658267723527
2020-07-10 00:00:00+05:30,-1.4796528996251563,-1.3671811607855993,1.6042234094531143
2020-07-13 00:00:00+05:30,-1.3149521423715924,-1.2418281912919005,3.2593394418334656
2020-07-14 00:00:00+05:30,-1.247509831371096,-1.2814485921647394,3.1135225823396047
2020-07-15 00:00:00+05:30,-1.2388184801463047,-1.4421291828792178,7.74548182551093
2020-07-16 00:00:00+05:30,-1.4389455660780681,-1.4434494666943984,2.705679447715056
2020-07-17 00:00:00+05:30,-1.443346593408443,-1.2931145165438431,1.9862870373830566
2020-07-20 00:00:00+05:30,-1.2831563264768104,-1.2750652888485354,1.1453070691950553
2020-07-21 00:00:00+05:30,-1.2365077920259224,-1.1613785408943762,1.502631127659909
2020-07-22 00:00:00+05:30,-1.1396899857137326,-1.0899527614434168,2.6294647462578777
2020-07-23 00:00:00+05:30,-1.0935913725791526,-0.9715334363925737,2.537406129516261
2020-07-24 00:00:00+05:30,-0.9746589037230459,-0.7770660013156788,6.524245457295572
2020-07-27 00:00:00+05:30,-0.7088489524405881,-0.7549447841719317,3.9442492983455866
2020-07-28 00:00:00+05:30,-0.7585786762389188,-0.7076213904885796,2.331267339961114
2020-07-29 00:00:00+05:30,-0.71082944130715,-0.8860204693335911,3.4549564306726
2020-07-30 00:00:00+05:30,-0.8844419358218809,-0.8591669722535948,3.4673814426608836
2020-07-31 00:00:00+05:30,-0.8503359881576047,-0.9510635397892173,3.60188731195817
2020-08-03 00:00:00+05:30,-0.9894017523069246,-1.078947127552121,1.793463427131306
2020-08-04 00:00:00+05:30,-1.0569542339795819,-0.7672712961992791,4.69573876520754
2020-08-05 00:00:00+05:30,-0.7304131274601483,-0.8204276520721825,3.5757580646596834
2020-08-06 00:00:00+05:30,-0.7568182341855312,-0.8035893531517705,1.960431717273036
2020-08-07 00:00:00+05:30,-0.8166693774749321,-0.7764057108278712,0.9142476288075962
2020-08-10 00:00:00+05:30,-0.7521975063090744,-0.8349552314457019,0.5284304044038198
2020-08-11 00:00:00+05:30,-0.8056674387197119,-0.8042496436395791,1.8006940675948733
2020-08-12 00:00:00+05:30,-0.8360330082967146,-0.817896439482107,0.7400945448285124
2020-08-13 00:00:00+05:30,-0.8206300515467767,-0.8301124078274271,0.39212793644968935
2020-08-14 00:00:00+05:30,-0.8326227916202494,-0.8482718820443265,0.9296292359338476
2020-08-17 00:00:00+05:30,-0.8712397608583534,-0.8976863937126944,0.785841858029147
2020-08-18 00:00:00+05:30,-0.9152477648202033,-0.8378162921192476,0.7582190096090715
2020-08-19 00:00:00+05:30,-0.7920246708048498,-0.8092021194585745,0.9848826165661014
2020-08-20 00:00:00+05:30,-0.838233857201614,-0.8851405772839058,0.2453369642119917
2020-08-21 00:00:00+05:30,-0.8426343364170762,-0.918596979241982,0.42097884694259996
2020-08-24 00:00:00+05:30,-0.9011648976361587,-0.8880013407970148,0.8971385131218256
2020-08-25 00:00:00+05:30,-0.8690392374981933,-0.9180466381153302,0.043647858663594497
2020-08-26 00:00:00+05:30,-0.9152473850510283,-0.796545462187323,2.6358015696050834
2020-08-27 00:00:00+05:30,-0.776622340430633,-0.8553154758483388,0.6005341490227813
2020-08-28 00:00:00+05:30,-0.8382334742468429,-0.843098913182147,0.5417427663167786
2020-08-31 00:00:00+05:30,-0.7194113834475709,-0.9211281918320586,2.7770367759628285
2020-09-01 00:00:00+05:30,-0.8822417354666844,-0.9067108589801304,1.2748634878409038
2020-09-02 00:00:00+05:30,-0.899845317555494,-0.8165761556669264,0.5278183903628293
2020-09-03 00:00:00+05:30,-0.8206298318005053,-0.8520131319279913,-0.007678527919704475
