Datetime,Open,Close,Volume
2025-03-03 09:15:00+05:30,-2.128671945844789,-2.1799802527937056,-0.9165026799507765
2025-03-03 09:20:00+05:30,-2.163648115401638,-2.2631316022242935,1.0628342899671126
2025-03-03 09:25:00+05:30,-2.253275383800653,-2.3156481033857066,1.0618607287750468
2025-03-03 09:30:00+05:30,-2.299181773125935,-2.370352235616302,0.3346817544866623
2025-03-03 09:35:00+05:30,-2.3647630917365348,-2.3769151288238497,0.2233475127988748
2025-03-03 09:40:00+05:30,-2.36695127049877,-2.4578788471852553,0.2592505499306681
2025-03-03 09:45:00+05:30,-2.4434628088778023,-2.495076588661978,0.3325288386798176
2025-03-03 09:50:00+05:30,-2.478438978434651,-2.495076588661978,0.06337478716601018
2025-03-03 09:55:00+05:30,-2.4828099989377503,-2.4731949357697394,-0.20253406037424448
2025-03-03 10:00:00+05:30,-2.454393028646235,-2.5760376359231767,0.5504482430697057
2025-03-03 10:05:00+05:30,-2.589926686370533,-2.608860115261534,0.22626819637507228
2025-03-03 10:10:00+05:30,-2.5964858856358672,-2.6307417681537726,0.10413771512648977
2025-03-03 10:15:00+05:30,-2.6358330756958153,-2.541027525515637,0.10809528094789556
2025-03-03 10:20:00+05:30,-2.5374610977799166,-2.5650968094770574,-0.11062355173791653
2025-03-03 10:25:00+05:30,-2.5724372673367655,-2.4206784346083263,0.24484501034075104
2025-03-03 10:30:00+05:30,-2.4259733898440348,-2.5082050461772796,-0.3460749727166323
2025-03-03 10:35:00+05:30,-2.5046704384746166,-2.4797605000774934,-0.472986193477473
2025-03-03 10:40:00+05:30,-2.487183687951535,-2.538839894446454,-0.3195434514499279
2025-03-03 10:45:00+05:30,-2.5374610977799166,-2.495076588661978,-0.5328325038287712
2025-03-03 10:50:00+05:30,-2.491554708454634,-2.3966091506469054,0.85934417056207
2025-03-03 10:55:00+05:30,-2.3975537510418343,-2.3812930620624213,1.1402047017755956
2025-03-03 11:00:00+05:30,-2.3735078012534183,-2.416303172469961,0.778609827805392
2025-03-03 11:05:00+05:30,-2.408483970810267,-2.3659743023777304,0.17119471040438938
2025-03-03 11:10:00+05:30,-2.362577581484985,-2.363786671308548,-0.4197569331795652
2025-03-03 11:15:00+05:30,-2.3603920712334356,-2.3506582137932464,0.4900637037666963
2025-03-03 11:20:00+05:30,-2.3297869221796854,-2.311270170147135,-0.1731372614528423
2025-03-03 11:25:00+05:30,-2.30355546213972,-2.3156481033857066,-0.3923943230903656
2025-03-03 11:30:00+05:30,-2.30355546213972,-2.3134578012163174,-0.5636461113142367
2025-03-03 11:35:00+05:30,-2.321042212662802,-2.326588929831826,-0.5204848984659852
2025-03-03 11:40:00+05:30,-2.318856702411252,-2.311270170147135,-0.3293107238971574
2025-03-03 11:45:00+05:30,-2.307926482642819,-2.258753668985722,0.4044298945231179
2025-03-03 11:50:00+05:30,-2.2510898735491036,-2.3047072769395873,-0.3189893922349311
2025-03-03 11:55:00+05:30,-2.307926482642819,-2.3506582137932464,-0.2701688602620693
2025-03-03 12:00:00+05:30,-2.3341606111934703,-2.2937664504934685,1.822243680305026
2025-03-03 12:05:00+05:30,-2.2904397321197374,-2.2631316022242935,0.09911952166494724
2025-03-03 12:10:00+05:30,-2.253275383800653,-2.204049536755126,0.25411362949448335
2025-03-03 12:15:00+05:30,-2.21174001497847,-2.21061510106288,-0.2079480104179276
2025-03-03 12:20:00+05:30,-2.1964387747069374,-2.1624765331400386,-0.05195659600139719
2025-03-03 12:25:00+05:30,-2.1461586963678703,-2.2018619056859436,-0.19025769119624372
2025-03-03 12:30:00+05:30,-2.1920677542038383,-2.1996742746167612,1.6728297402836718
2025-03-03 12:35:00+05:30,-2.1920677542038383,-2.2456252114704203,1.296496891194553
2025-03-03 12:40:00+05:30,-2.237974143529121,-2.219368296439817,-0.3780995953434479
2025-03-03 12:45:00+05:30,-2.213928193740705,-2.1318416848708637,0.44250959285668434
2025-03-03 12:50:00+05:30,-2.128671945844789,-2.1974866435475784,-0.27327950699769427
2025-03-03 12:55:00+05:30,-2.1833230446869547,-2.2324967539551186,-0.47469586191232027
2025-03-03 13:00:00+05:30,-2.218299214243804,-2.212802732132063,-0.6287876447345759
2025-03-03 13:05:00+05:30,-2.2051834842238214,-2.1471577734553478,-0.5312811380267802
2025-03-03 13:10:00+05:30,-2.1330429663478876,-2.105582098740054,-0.11944100838800863
2025-03-03 13:15:00+05:30,-2.102437817294138,-2.088078379086387,0.39230391284633054
2025-03-03 13:20:00+05:30,-2.076206357254172,-2.1252761205631097,-0.22946133822308942
2025-03-03 13:25:00+05:30,-2.119927236327905,-2.182167883862888,-0.5435258466782097
2025-03-03 13:30:00+05:30,-2.1723928249185214,-2.2368720160934834,0.6695155683725201
2025-03-03 13:35:00+05:30,-2.237974143529121,-2.2237435585781817,-0.5129655234053142
2025-03-03 13:40:00+05:30,-2.20955450472692,-2.2237435585781817,-0.3344872199915562
2025-03-03 13:45:00+05:30,-2.2029979739722716,-2.1865458171014596,-0.3097840941343412
2025-03-03 13:50:00+05:30,-2.187694065190054,-2.182167883862888,-0.286774806448688
2025-03-03 13:55:00+05:30,-2.174578335170071,-2.2149903632012453,-0.53229427487706
2025-03-03 14:00:00+05:30,-2.2073689944753707,-2.1559109688322846,-0.4979742640738291
