Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-30 00:00:00+05:30,1631.716469203551,1760.147153925688,1629.4528080054238,1643.2659912109375,8513547,0.0,0.0
2020-03-31 00:00:00+05:30,1697.6873952490052,1713.9491000013302,1644.6519665780959,1687.24658203125,3927593,0.0,0.0
2020-04-01 00:00:00+05:30,1687.0618479580014,1695.2388872081028,1572.5829600916695,1578.8197021484375,4941878,0.0,0.0
2020-04-03 00:00:00+05:30,1607.6934436684085,1607.6934436684085,1524.5368862372839,1528.41748046875,5735369,0.0,0.0
2020-04-07 00:00:00+05:30,1579.9746555563793,1650.057134533193,1575.3548466220038,1640.2169189453125,5427577,0.0,0.0
2020-04-08 00:00:00+05:30,1626.1721620557257,1668.6743890185458,1571.6584361686305,1575.77001953125,6285615,0.0,0.0
2020-04-09 00:00:00+05:30,1617.34871409283,1643.5431185418379,1599.5624513519595,1631.85498046875,5307397,0.0,0.0
2020-04-13 00:00:00+05:30,1627.0966694181202,1651.1196753266217,1613.2372429324464,1625.479736328125,2990438,0.0,0.0
2020-04-15 00:00:00+05:30,1649.2713750028229,1674.2183369776556,1596.420819193673,1603.2119140625,4761399,0.0,0.0
2020-04-16 00:00:00+05:30,1579.9280751271258,1630.6998321520173,1547.681905878548,1585.5643310546875,6245533,0.0,0.0
2020-04-17 00:00:00+05:30,1663.1307366188646,1711.130492485417,1619.7045451627052,1668.8592529296875,9895823,0.0,0.0
2020-04-20 00:00:00+05:30,1690.8497346121032,1690.8497346121032,1665.440790512741,1680.36279296875,3244282,0.0,0.0
2020-04-21 00:00:00+05:30,1630.7924250442347,1658.1416692181958,1596.32860800022,1605.5220947265625,5122541,0.0,0.0
2020-04-22 00:00:00+05:30,1605.5220383162148,1653.8914097820712,1588.4287472095284,1634.9501953125,3829836,0.0,0.0
2020-04-23 00:00:00+05:30,1644.6517949616498,1755.5271968691768,1626.9579061829154,1735.4310302734375,5934366,0.0,0.0
2020-04-24 00:00:00+05:30,1700.736044622056,1711.1306124546988,1670.3377987021067,1680.2703857421875,2987102,0.0,0.0
2020-04-27 00:00:00+05:30,1692.9749087134016,1732.4280244754768,1686.2299438227974,1696.9478759765625,3374741,0.0,0.0
2020-04-28 00:00:00+05:30,1723.1884445666647,1725.9603294640908,1693.2520651168038,1717.69091796875,2678505,0.0,0.0
2020-04-29 00:00:00+05:30,1731.5040294764906,1767.1227940882377,1709.3751943858467,1760.7474365234375,4241510,0.0,0.0
2020-04-30 00:00:00+05:30,1829.444221782878,1877.4902316478829,1794.5184233426132,1861.274658203125,5915544,0.0,0.0
2020-05-04 00:00:00+05:30,1816.508376687703,1816.508376687703,1768.1390129179917,1783.6614990234375,3729348,0.0,0.0
2020-05-05 00:00:00+05:30,1806.4371384307772,1826.6719182006693,1780.473842373642,1785.78662109375,2905528,0.0,0.0
2020-05-06 00:00:00+05:30,1792.300748930574,1805.143724883593,1749.613655524919,1758.853271484375,3517431,0.0,0.0
2020-05-07 00:00:00+05:30,1764.76680805222,1787.3576260033312,1740.1432067329956,1747.8121337890625,3166754,0.0,0.0
2020-05-08 00:00:00+05:30,1791.6540810427325,1792.0236882744355,1742.8227285422295,1749.4290771484375,2686530,0.0,0.0
2020-05-11 00:00:00+05:30,1763.842708940305,1803.0187036609102,1763.842708940305,1788.1429443359375,2449841,0.0,0.0
2020-05-12 00:00:00+05:30,1786.3874240247796,1807.730914953153,1764.9976898999544,1801.26318359375,3256595,0.0,0.0
2020-05-13 00:00:00+05:30,1842.3795321338282,1842.3795321338282,1779.2267758442706,1801.40185546875,2656665,0.0,0.0
2020-05-14 00:00:00+05:30,1764.7664480820808,1776.8703210583935,1747.303553341835,1757.6981201171875,2263146,0.0,0.0
2020-05-15 00:00:00+05:30,1770.3105327093167,1771.6041015852377,1723.373235474151,1748.967041015625,3173682,0.0,0.0
2020-05-18 00:00:00+05:30,1761.9948923838126,1804.450885708474,1729.7486077683702,1797.6597900390625,3727694,0.0,0.0
2020-05-19 00:00:00+05:30,1758.2989138677174,1816.9242319079,1758.2989138677174,1800.477783203125,3198693,0.0,0.0
2020-05-20 00:00:00+05:30,1801.7251523395155,1813.6442797511104,1784.8166096407083,1805.0513916015625,2778505,0.0,0.0
2020-05-21 00:00:00+05:30,1798.0294570041156,1846.075465104945,1793.5482653446775,1839.79248046875,3400908,0.0,0.0
2020-05-22 00:00:00+05:30,1826.7646096057897,1877.4901282464853,1812.1198395784543,1866.7259521484375,3663418,0.0,0.0
2020-05-26 00:00:00+05:30,1861.7826836193829,1870.098338285673,1778.6261369564825,1795.2574462890625,4575317,0.0,0.0
2020-05-27 00:00:00+05:30,1810.0408436675807,1857.1628870708714,1793.6405246399647,1852.8203125,3482160,0.0,0.0
2020-05-28 00:00:00+05:30,1837.297481044478,1860.8584997855562,1821.4053880285494,1851.8961181640625,3475681,0.0,0.0
2020-05-29 00:00:00+05:30,1831.291862208062,1850.3716915036575,1813.182237692419,1822.3756103515625,7237735,0.0,0.0
2020-06-01 00:00:00+05:30,1838.6837821151908,1903.3611010840668,1830.4605004314892,1889.732666015625,3747773,0.0,0.0
2020-06-02 00:00:00+05:30,1903.5456684764854,1922.7641151269452,1884.9279322199382,1891.488037109375,2443886,0.0,0.0
2020-06-03 00:00:00+05:30,1901.403345516221,1912.4307174249038,1871.8885762317652,1896.1212158203125,3699799,6.0,0.0
2020-06-04 00:00:00+05:30,1896.6769463868811,1946.0225173628683,1896.6769463868811,1938.192138671875,4048593,0.0,0.0
2020-06-05 00:00:00+05:30,1938.2390716812133,1944.1697181711902,1890.7004627811448,1898.0675048828125,3573289,0.0,0.0
2020-06-08 00:00:00+05:30,1925.867887338367,1941.3897384693269,1910.9021333109501,1919.844482421875,2957841,0.0,0.0
2020-06-09 00:00:00+05:30,1911.8285954051212,1941.8528583381142,1909.1874738206154,1920.122314453125,2909439,0.0,0.0
2020-06-10 00:00:00+05:30,1924.755713605683,1975.676601400415,1921.465962947355,1954.13134765625,5168397,0.0,0.0
2020-06-11 00:00:00+05:30,1946.023033868794,1950.6564220446721,1910.623993453017,1916.044921875,2269513,0.0,0.0
2020-06-12 00:00:00+05:30,1863.7340831574666,1898.9478345891516,1863.5487928715486,1889.9591064453125,2842642,0.0,0.0
2020-06-15 00:00:00+05:30,1889.5883774310944,1908.0292853285125,1854.235602385913,1881.06298828125,2399022,0.0,0.0
2020-06-16 00:00:00+05:30,1913.5895306182385,1921.8832511325459,1882.0824874991006,1895.79736328125,2146528,0.0,0.0
2020-06-17 00:00:00+05:30,1895.9823257356618,1907.8902231160268,1877.9584920805803,1897.650390625,2703527,0.0,0.0
2020-06-18 00:00:00+05:30,1895.0557192496578,1908.2144961109427,1876.7074572578922,1888.66162109375,1944389,0.0,0.0
2020-06-19 00:00:00+05:30,1892.2757193810894,1936.7562455957282,1883.008943086373,1894.68505859375,5681758,0.0,0.0
2020-06-22 00:00:00+05:30,1899.6891464173225,1901.7741710902196,1871.1011640817885,1879.255859375,3196138,0.0,0.0
2020-06-23 00:00:00+05:30,1878.375668633778,1894.129189288329,1862.6221479792275,1886.067138671875,4205944,0.0,0.0
2020-06-24 00:00:00+05:30,1884.8623480561696,1912.8943470869951,1882.6382990628158,1892.4610595703125,2560937,0.0,0.0
2020-06-25 00:00:00+05:30,1885.7890104142732,1908.9559515741537,1861.9270610195963,1868.2747802734375,3043931,0.0,0.0
2020-06-26 00:00:00+05:30,1876.522181612456,1975.6766870112376,1871.842414380751,1963.490966796875,6300722,0.0,0.0
2020-06-29 00:00:00+05:30,1953.4362506763775,1971.5992209223527,1937.9607810351697,1947.5517578125,3076341,0.0,0.0
2020-06-30 00:00:00+05:30,1946.0230983553236,1957.0504720834713,1922.9025358394636,1929.4818115234375,3071725,0.0,0.0
2020-07-01 00:00:00+05:30,1927.2114464867873,1958.9501557198084,1927.0261562063508,1938.656005859375,2503466,0.0,0.0
2020-07-02 00:00:00+05:30,1947.876720381417,2006.257421325294,1944.1700092103772,1998.98291015625,3758699,0.0,0.0
2020-07-03 00:00:00+05:30,2005.0056985973404,2043.32390402814,2001.8550855677051,2038.3660888671875,4185208,0.0,0.0
2020-07-06 00:00:00+05:30,2043.3242413458286,2103.4655310147455,2043.3242413458286,2097.2568359375,5190366,0.0,0.0
2020-07-07 00:00:00+05:30,2108.19172283762,2133.8606493358852,2068.483493737976,2103.465576171875,5630055,0.0,0.0
2020-07-08 00:00:00+05:30,2103.558399553551,2107.635690977521,2045.733801004425,2056.205078125,2793358,0.0,0.0
2020-07-09 00:00:00+05:30,2065.564807213808,2079.9283130513195,2030.397430104742,2042.7222900390625,3443998,0.0,0.0
2020-07-10 00:00:00+05:30,2043.555579547095,2084.8854870014766,2016.4502623713768,2059.40185546875,9610320,0.0,0.0
2020-07-13 00:00:00+05:30,2057.22412109375,2080.3446802698277,2047.9573457735078,2057.22412109375,2963503,0.0,0.0
2020-07-14 00:00:00+05:30,2047.9570191316466,2074.830663274098,2006.2565368416356,2012.6968994140625,2976738,0.0,0.0
2020-07-15 00:00:00+05:30,2024.7907755517072,2094.291603087807,2021.176823015699,2070.105224609375,5569321,0.0,0.0
2020-07-16 00:00:00+05:30,2084.1288363316644,2166.7881350988296,2061.9316546649443,2075.537841796875,8582118,5.0,0.0
2020-07-17 00:00:00+05:30,2077.6279895370362,2084.036317759856,2034.022923528058,2043.9605712890625,4509135,0.0,0.0
2020-07-20 00:00:00+05:30,2044.1927460408833,2068.2474450387303,2034.7194765290624,2050.60107421875,2952646,0.0,0.0
2020-07-21 00:00:00+05:30,2071.1265953133734,2079.1602467891603,2044.3318847603477,2066.529296875,2665286,0.0,0.0
2020-07-22 00:00:00+05:30,2072.0557519719737,2072.0557519719737,2028.5899024126345,2034.8590087890625,2861534,0.0,0.0
2020-07-23 00:00:00+05:30,2034.8584386696066,2034.8584386696066,2008.8997471111468,2016.5155029296875,2265766,0.0,0.0
2020-07-24 00:00:00+05:30,2001.0055498313288,2008.899978781696,1973.700203925391,2003.6988525390625,3665100,0.0,0.0
2020-07-27 00:00:00+05:30,2010.7570494386969,2057.194856585087,2009.363915224305,2049.5791015625,4248480,0.0,0.0
