Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-30 00:00:00+05:30,1341.14784664628,1375.8430683554145,1271.9569954983153,1289.802978515625,5570325,0.0,0.0
2020-03-31 00:00:00+05:30,1324.2988503849115,1325.9936808447994,1281.129232996667,1292.14599609375,4476861,0.0,0.0
2020-04-01 00:00:00+05:30,1290.9995704288447,1290.9995704288447,1154.511911630455,1178.0906982421875,10838462,0.0,0.0
2020-04-03 00:00:00+05:30,1178.0906010974816,1179.4365102217105,1083.725686061707,1137.4134521484375,10111471,0.0,0.0
2020-04-07 00:00:00+05:30,1217.3221055413735,1225.3479060238992,1167.472715470064,1194.4412841796875,8552570,0.0,0.0
2020-04-08 00:00:00+05:30,1181.231119056711,1238.807160847895,1156.8546958742052,1184.072509765625,7405087,0.0,0.0
2020-04-09 00:00:00+05:30,1211.340061377516,1277.3405987567155,1186.515043186543,1269.065673828125,8097402,0.0,0.0
2020-04-13 00:00:00+05:30,1246.234888688057,1253.3633765918778,1212.337299715742,1247.1322021484375,4250536,0.0,0.0
2020-04-15 00:00:00+05:30,1262.0370332891441,1267.1216469340939,1149.826124886202,1170.2144775390625,9045676,0.0,0.0
2020-04-16 00:00:00+05:30,1161.4408623779104,1161.4408623779104,1111.092979628885,1127.443603515625,11055205,0.0,0.0
2020-04-17 00:00:00+05:30,1183.77342003349,1194.341466194812,1131.5811339238671,1182.6767578125,8585395,0.0,0.0
2020-04-20 00:00:00+05:30,1216.3250010779293,1220.8114457540364,1168.7188381259039,1174.2022705078125,6560180,0.0,0.0
2020-04-21 00:00:00+05:30,1146.5359099927643,1151.5208487318632,1121.6112162972695,1126.7457275390625,4799796,0.0,0.0
2020-04-22 00:00:00+05:30,1123.6549561374065,1163.2353163344303,1104.8616419654736,1148.6793212890625,6963692,0.0,0.0
2020-04-23 00:00:00+05:30,1168.4697350322595,1251.2197247999025,1154.6115798752276,1245.8858642578125,10558247,0.0,0.0
2020-04-24 00:00:00+05:30,1215.3281360758701,1254.2106605278464,1209.6951306288433,1235.8162841796875,6784235,0.0,0.0
2020-04-27 00:00:00+05:30,1248.1291165638224,1320.9092297775783,1248.1291165638224,1299.67333984375,7771412,0.0,0.0
2020-04-28 00:00:00+05:30,1306.1537333758818,1332.47423646132,1306.1537333758818,1322.6539306640625,6678388,0.0,0.0
2020-04-29 00:00:00+05:30,1323.0028044410299,1347.927499324998,1311.2382997747522,1323.8502197265625,6703229,0.0,0.0
2020-04-30 00:00:00+05:30,1335.9636746367346,1375.843187312458,1330.0316458072666,1353.11181640625,6272522,0.0,0.0
2020-05-04 00:00:00+05:30,1291.0991911528547,1301.9663824304937,1259.8934245698144,1273.9510498046875,5096439,0.0,0.0
