Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-03 09:15:00+05:30,1203.4000244140625,1203.8499755859375,1196.699951171875,1199.550048828125,0,0.0,0.0
2025-03-03 09:20:00+05:30,1199.1500244140625,1200.0,1190.5,1191.1500244140625,428658,0.0,0.0
2025-03-03 09:25:00+05:30,1190.8499755859375,1191.0999755859375,1183.0,1183.949951171875,381264,0.0,0.0
2025-03-03 09:30:00+05:30,1183.9000244140625,1183.949951171875,1173.699951171875,1176.449951171875,612165,0.0,0.0
2025-03-03 09:35:00+05:30,1176.449951171875,1176.449951171875,1171.0999755859375,1176.199951171875,303152,0.0,0.0
2025-03-03 09:40:00+05:30,1176.199951171875,1176.199951171875,1167.1500244140625,1167.4000244140625,442994,0.0,0.0
2025-03-03 09:45:00+05:30,1167.5999755859375,1169.300048828125,1163.75,1164.0999755859375,367888,0.0,0.0
2025-03-03 09:50:00+05:30,1164.0999755859375,1164.949951171875,1161.6500244140625,1162.800048828125,312476,0.0,0.0
2025-03-03 09:55:00+05:30,1162.800048828125,1167.5,1162.75,1166.5,321648,0.0,0.0
2025-03-03 10:00:00+05:30,1166.3499755859375,1167.300048828125,1161.4000244140625,1163.3499755859375,298076,0.0,0.0
2025-03-03 10:05:00+05:30,1163.25,1164.0,1161.199951171875,1162.0,213959,0.0,0.0
2025-03-03 10:10:00+05:30,1162.0,1164.0999755859375,1160.050048828125,1160.449951171875,284711,0.0,0.0
2025-03-03 10:15:00+05:30,1160.449951171875,1161.699951171875,1159.300048828125,1160.5,296403,0.0,0.0
2025-03-03 10:20:00+05:30,1160.300048828125,1161.550048828125,1156.0999755859375,1160.5999755859375,283601,0.0,0.0
2025-03-03 10:25:00+05:30,1160.550048828125,1165.6500244140625,1159.699951171875,1164.550048828125,283867,0.0,0.0
2025-03-03 10:30:00+05:30,1164.5,1164.949951171875,1162.300048828125,1163.6500244140625,155885,0.0,0.0
2025-03-03 10:35:00+05:30,1163.5,1165.800048828125,1163.0,1165.1500244140625,160315,0.0,0.0
2025-03-03 10:40:00+05:30,1165.1500244140625,1165.1500244140625,1160.0999755859375,1160.6500244140625,191569,0.0,0.0
2025-03-03 10:45:00+05:30,1160.6500244140625,1162.699951171875,1160.0,1161.699951171875,209996,0.0,0.0
2025-03-03 10:50:00+05:30,1161.699951171875,1164.9000244140625,1160.800048828125,1162.8499755859375,482485,0.0,0.0
2025-03-03 10:55:00+05:30,1162.9000244140625,1164.199951171875,1160.9000244140625,1162.6500244140625,447962,0.0,0.0
2025-03-03 11:00:00+05:30,1162.550048828125,1163.0,1160.0,1161.3499755859375,326488,0.0,0.0
2025-03-03 11:05:00+05:30,1161.1500244140625,1164.0,1160.050048828125,1164.0,422717,0.0,0.0
2025-03-03 11:10:00+05:30,1164.0,1164.0999755859375,1161.800048828125,1163.050048828125,159178,0.0,0.0
2025-03-03 11:15:00+05:30,1162.699951171875,1162.949951171875,1160.199951171875,1160.9000244140625,147299,0.0,0.0
2025-03-03 11:20:00+05:30,1160.9000244140625,1162.9000244140625,1160.75,1162.699951171875,163549,0.0,0.0
2025-03-03 11:25:00+05:30,1162.6500244140625,1164.4000244140625,1161.5999755859375,1164.4000244140625,180246,0.0,0.0
2025-03-03 11:30:00+05:30,1164.1500244140625,1164.9000244140625,1163.699951171875,1164.300048828125,149463,0.0,0.0
2025-03-03 11:35:00+05:30,1164.300048828125,1164.75,1163.0999755859375,1164.0,160834,0.0,0.0
2025-03-03 11:40:00+05:30,1164.0,1164.199951171875,1162.3499755859375,1162.9000244140625,110488,0.0,0.0
2025-03-03 11:45:00+05:30,1163.0,1163.949951171875,1162.0,1163.9000244140625,92229,0.0,0.0
2025-03-03 11:50:00+05:30,1164.199951171875,1164.199951171875,1162.0,1162.1500244140625,97737,0.0,0.0
2025-03-03 11:55:00+05:30,1162.050048828125,1162.1500244140625,1160.050048828125,1160.0999755859375,188793,0.0,0.0
2025-03-03 12:00:00+05:30,1160.199951171875,1160.6500244140625,1158.0999755859375,1160.050048828125,187448,0.0,0.0
2025-03-03 12:05:00+05:30,1159.8499755859375,1160.949951171875,1158.800048828125,1160.199951171875,114496,0.0,0.0
2025-03-03 12:10:00+05:30,1160.4000244140625,1160.5999755859375,1158.949951171875,1160.5,117532,0.0,0.0
2025-03-03 12:15:00+05:30,1160.5,1162.449951171875,1159.9000244140625,1161.949951171875,114383,0.0,0.0
2025-03-03 12:20:00+05:30,1161.9000244140625,1163.0,1161.5999755859375,1163.0,138614,0.0,0.0
2025-03-03 12:25:00+05:30,1162.949951171875,1163.0,1162.0,1162.1500244140625,93038,0.0,0.0
2025-03-03 12:30:00+05:30,1162.4000244140625,1164.3499755859375,1162.0999755859375,1164.25,140552,0.0,0.0
2025-03-03 12:35:00+05:30,1164.300048828125,1165.0,1163.0,1163.449951171875,186567,0.0,0.0
2025-03-03 12:40:00+05:30,1163.0999755859375,1164.800048828125,1162.9000244140625,1164.5999755859375,171531,0.0,0.0
2025-03-03 12:45:00+05:30,1164.6500244140625,1166.949951171875,1164.5999755859375,1166.5,245702,0.0,0.0
2025-03-03 12:50:00+05:30,1166.4000244140625,1166.5,1164.25,1164.800048828125,249707,0.0,0.0
2025-03-03 12:55:00+05:30,1164.800048828125,1165.3499755859375,1163.4000244140625,1163.800048828125,175568,0.0,0.0
2025-03-03 13:00:00+05:30,1163.5,1164.6500244140625,1163.4000244140625,1164.199951171875,102187,0.0,0.0
2025-03-03 13:05:00+05:30,1164.199951171875,1165.5,1164.0,1165.5,142713,0.0,0.0
2025-03-03 13:10:00+05:30,1165.5,1166.5,1165.0,1166.199951171875,153158,0.0,0.0
2025-03-03 13:15:00+05:30,1166.449951171875,1166.5,1165.4000244140625,1165.449951171875,136737,0.0,0.0
2025-03-03 13:20:00+05:30,1165.5999755859375,1165.75,1163.0,1164.25,214820,0.0,0.0
2025-03-03 13:25:00+05:30,1164.3499755859375,1165.9000244140625,1164.0,1164.8499755859375,148138,0.0,0.0
2025-03-03 13:30:00+05:30,1165.0,1165.050048828125,1162.699951171875,1164.050048828125,151012,0.0,0.0
2025-03-03 13:35:00+05:30,1164.050048828125,1165.25,1163.6500244140625,1165.0999755859375,136181,0.0,0.0
2025-03-03 13:40:00+05:30,1165.0999755859375,1165.3499755859375,1164.300048828125,1164.949951171875,131683,0.0,0.0
2025-03-03 13:45:00+05:30,1165.050048828125,1165.6500244140625,1164.550048828125,1165.0,133140,0.0,0.0
2025-03-03 13:50:00+05:30,1165.0,1166.300048828125,1164.949951171875,1165.0,144725,0.0,0.0
2025-03-03 13:55:00+05:30,1165.0999755859375,1166.199951171875,1164.75,1165.0999755859375,83659,0.0,0.0
2025-03-03 14:00:00+05:30,1165.0999755859375,1165.9000244140625,1164.5999755859375,1165.800048828125,89327,0.0,0.0
