Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-30 00:00:00+05:30,556.1853085018281,590.3518902637192,552.6262918310596,557.6089477539062,14624804,0.0,0.0
2020-03-31 00:00:00+05:30,578.3401929300833,589.0172426457157,563.8372112609394,570.7772827148438,15175521,0.0,0.0
2020-04-01 00:00:00+05:30,564.4155446676481,567.218292068619,528.5139850804073,536.3438110351562,13083824,0.0,0.0
2020-04-03 00:00:00+05:30,536.9666416877924,539.1910271131768,517.9704118775236,521.1290283203125,10221655,0.0,0.0
2020-04-07 00:00:00+05:30,547.1986998078969,573.2240038231505,545.3302381652086,568.5527954101562,15145605,0.0,0.0
2020-04-08 00:00:00+05:30,560.5451040738359,583.3673193193551,557.2974797642285,561.9686889648438,11806896,0.0,0.0
2020-04-09 00:00:00+05:30,575.4929124948961,580.8314368302965,562.4135170119099,566.1060180664062,11931114,0.0,0.0
2020-04-13 00:00:00+05:30,559.6554369260957,579.852869755911,557.0306509631969,567.12939453125,8330276,0.0,0.0
2020-04-15 00:00:00+05:30,579.5860335207715,581.2765342842702,565.5278706615289,568.5975341796875,11963447,0.0,0.0
2020-04-16 00:00:00+05:30,551.6030507663233,564.9048850755681,536.9665853418957,555.0730590820312,17783287,0.0,0.0
2020-04-17 00:00:00+05:30,573.0016731641401,574.7811814658921,556.9860984483723,559.4329223632812,8878320,0.0,0.0
2020-04-20 00:00:00+05:30,569.4427078121918,588.1275466622793,568.5529535812352,581.2764282226562,13322913,0.0,0.0
2020-04-21 00:00:00+05:30,558.5876398915761,575.2260532203032,558.5876398915761,563.392333984375,11660575,0.0,0.0
2020-04-22 00:00:00+05:30,563.3923432059445,573.891431399753,558.8100875738049,571.0886840820312,8266728,0.0,0.0
2020-04-23 00:00:00+05:30,575.7154022860201,608.280436216193,567.7520919151922,604.4099731445312,14451289,0.0,0.0
2020-04-24 00:00:00+05:30,594.845023687612,600.5839478281132,582.6109062318541,585.4581298828125,7319940,0.0,0.0
2020-04-27 00:00:00+05:30,588.1720715598995,605.9226807787742,588.1720715598995,591.3306884765625,7183306,0.0,0.0
2020-04-28 00:00:00+05:30,598.804623392215,602.3636404703263,581.0540148538771,587.8606567382812,7296571,0.0,0.0
2020-04-29 00:00:00+05:30,592.5762998106832,606.8123670734024,585.4582661793237,601.9631958007812,8639056,0.0,0.0
2020-04-30 00:00:00+05:30,622.827890584054,640.6229731721697,621.13733601567,636.6190795898438,16253821,0.0,0.0
2020-05-04 00:00:00+05:30,613.7523879326809,623.8956067358706,596.4466592451819,599.4273681640625,9122740,0.0,0.0
2020-05-05 00:00:00+05:30,606.5898780483717,610.0154097259119,596.1352670222354,599.4273681640625,6393053,0.0,0.0
2020-05-06 00:00:00+05:30,602.2746002463149,606.3229707298409,590.8412269415659,592.4873046875,7934250,0.0,0.0
2020-05-07 00:00:00+05:30,592.1758595723853,600.005685176933,589.4176434489902,591.6420288085938,4779548,0.0,0.0
