Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-03 09:15:00+05:30,3493.949951171875,3523.25,3493.0,3496.050048828125,0,0.0,0.0
2025-03-03 09:20:00+05:30,3495.25,3506.35009765625,3490.449951171875,3496.39990234375,99511,0.0,0.0
2025-03-03 09:25:00+05:30,3496.39990234375,3505.300048828125,3493.0,3501.35009765625,114035,0.0,0.0
2025-03-03 09:30:00+05:30,3501.35009765625,3513.300048828125,3496.10009765625,3509.89990234375,91745,0.0,0.0
2025-03-03 09:35:00+05:30,3510.0,3514.5,3501.050048828125,3508.10009765625,74560,0.0,0.0
2025-03-03 09:40:00+05:30,3508.550048828125,3514.60009765625,3496.5,3499.449951171875,169809,0.0,0.0
2025-03-03 09:45:00+05:30,3498.25,3504.0,3493.199951171875,3498.14990234375,78869,0.0,0.0
2025-03-03 09:50:00+05:30,3498.199951171875,3499.0,3488.699951171875,3492.300048828125,80432,0.0,0.0
2025-03-03 09:55:00+05:30,3491.800048828125,3492.89990234375,3482.85009765625,3488.800048828125,44116,0.0,0.0
2025-03-03 10:00:00+05:30,3488.800048828125,3492.89990234375,3483.10009765625,3486.10009765625,91767,0.0,0.0
2025-03-03 10:05:00+05:30,3485.699951171875,3487.0,3477.85009765625,3479.300048828125,48422,0.0,0.0
2025-03-03 10:10:00+05:30,3478.85009765625,3485.0,3476.35009765625,3478.800048828125,69160,0.0,0.0
2025-03-03 10:15:00+05:30,3478.0,3484.25,3478.0,3483.25,37051,0.0,0.0
2025-03-03 10:20:00+05:30,3482.199951171875,3489.89990234375,3480.0,3488.699951171875,90288,0.0,0.0
2025-03-03 10:25:00+05:30,3488.60009765625,3491.949951171875,3486.35009765625,3491.949951171875,79523,0.0,0.0
2025-03-03 10:30:00+05:30,3489.60009765625,3496.14990234375,3487.39990234375,3494.449951171875,64557,0.0,0.0
2025-03-03 10:35:00+05:30,3494.449951171875,3505.0,3494.0,3501.300048828125,371601,0.0,0.0
2025-03-03 10:40:00+05:30,3501.300048828125,3503.35009765625,3498.60009765625,3500.75,29092,0.0,0.0
2025-03-03 10:45:00+05:30,3500.0,3505.300048828125,3500.0,3502.550048828125,71031,0.0,0.0
2025-03-03 10:50:00+05:30,3502.39990234375,3508.60009765625,3501.050048828125,3502.949951171875,391747,0.0,0.0
2025-03-03 10:55:00+05:30,3502.75,3502.75,3495.0,3496.300048828125,15455,0.0,0.0
2025-03-03 11:00:00+05:30,3496.300048828125,3501.050048828125,3494.64990234375,3495.050048828125,22442,0.0,0.0
2025-03-03 11:05:00+05:30,3495.050048828125,3501.64990234375,3495.0,3501.050048828125,11174,0.0,0.0
2025-03-03 11:10:00+05:30,3501.050048828125,3503.60009765625,3497.0,3498.10009765625,18399,0.0,0.0
2025-03-03 11:15:00+05:30,3498.300048828125,3499.5,3495.699951171875,3498.5,14839,0.0,0.0
2025-03-03 11:20:00+05:30,3497.35009765625,3500.0,3496.550048828125,3499.5,15406,0.0,0.0
2025-03-03 11:25:00+05:30,3499.25,3505.0,3496.64990234375,3500.449951171875,87551,0.0,0.0
2025-03-03 11:30:00+05:30,3500.199951171875,3502.39990234375,3497.64990234375,3499.5,19807,0.0,0.0
2025-03-03 11:35:00+05:30,3499.35009765625,3500.64990234375,3496.60009765625,3498.300048828125,14343,0.0,0.0
2025-03-03 11:40:00+05:30,3498.300048828125,3504.89990234375,3498.25,3503.75,25744,0.0,0.0
2025-03-03 11:45:00+05:30,3503.949951171875,3507.800048828125,3499.949951171875,3503.050048828125,84237,0.0,0.0
2025-03-03 11:50:00+05:30,3503.050048828125,3503.85009765625,3499.89990234375,3503.75,20661,0.0,0.0
2025-03-03 11:55:00+05:30,3503.85009765625,3512.0,3502.050048828125,3505.39990234375,176954,0.0,0.0
2025-03-03 12:00:00+05:30,3506.199951171875,3507.89990234375,3497.050048828125,3499.699951171875,22622,0.0,0.0
